AMI-ID,Region,InstanceCount,RunningCount,StoppedCount,Instance-ID-Running,Instance-ID-Stopped
ami-04a81a99f5ec58529,us-east-1,3,0,3,,"Web-s1 (i-01aa4d87398113e93), test-2 (i-0b69d30512e3bce6f), test-1 (i-05455cdad855b7169)"
ami-07d9456e59793a7d5,us-east-1,1,0,1,,test-3/ms (i-068b34d842ea25018)
